LOCATION,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,POPULATION
"Mullingar, Westmeath",705.41,651.37,596.36,575.54,570.59,573.08,578.2,595.85,635.11,688.75,753.22,36623
Wexford,741.58,702.13,652.25,628.51,608.54,593.14,593.16,622.26,655.38,693.71,741.51,6431
"Enniscorthy, Wexford",685.77,658.23,610,602.64,590.66,567.52,565.47,569.13,582.3,625.85,653.92,26237
"Gorey, Wexford",773.98,723.83,674.17,651.1,622.99,602.45,603.4,667.01,716.89,779.21,858.74,13077
"New Ross, Wexford",705.57,662.85,638.62,603.96,591.35,577.28,566.18,589.82,604.37,611.96,659.83,12528
Wicklow,1100.31,1035.26,946.46,918.72,897.46,886.17,906.55,956.82,1044.82,1091.27,1148.45,58821
Wicklow Town,1089.86,1018.79,971.41,933.18,876.62,857.17,926.05,980.53,1009.86,1072.65,1153.75,14949
"Arklow, Wicklow",890.17,845.1,762.92,754.35,721.81,709.78,725.73,743.74,806.88,869.18,946.55,31723
"Bray, Wicklow",1365.51,1234.66,1148.61,1119.37,1134.67,1142.79,1159.62,1288.88,1382.02,1364.24,1459.97,12149
Carlow,694.95,642.06,583.51,551.91,535.31,521.22,530.78,544.6,570.88,602.31,624.9,10223
Cork,803.79,747.26,700.8,673.94,653.21,645.1,668.95,721.94,763.23,825.51,881.75,80887
Cork City,869.97,801.5,736.79,722.65,711.24,712.06,743.24,805.12,853.48,924.8,989.03,50108
Donegal,498.34,455.04,436.46,434.07,397.82,403.57,402.97,401.05,413.89,441.94,465.42,55090
Dublin,1213.34,1124.11,1004.93,957.04,970.41,1006.87,1055.7,1117.12,1216.18,1319.38,1436.2,41832
"Balbriggan, Dublin",999.21,921.55,797.87,740.88,725.35,739.26,786.64,847.32,933.37,1019.8,1069.54,41733
Dublin 3,1253.93,1142.97,1012.82,914,950.62,1004.87,1053.47,1170.93,1258.47,1382.12,1533.21,19025
Dublin 4,1590.57,1410.57,1280.56,1276.48,1281.7,1314.99,1370.35,1489.01,1609.56,1762.69,1982.12,15367
Dublin 5,1213.8,1111.78,968.26,934.54,900.55,945.91,1062.83,1103.37,1191.7,1387.64,1563.64,7411
Dublin 6,1272.34,1203.63,1118.25,1078.96,1105.39,1168.1,1244.13,1366.21,1556.69,1634.05,1649.84,22955
Dublin 7,1144.03,1033.42,940.97,937.37,932.76,955.91,1030.57,1127.28,1196.03,1233.77,1369.97,37734
Dublin 8,1281.97,1093.86,1009.49,1010,999.3,1007.88,1102.38,1209.55,1312.77,1417.49,1509.07,14588
Dublin 9,1197.6,1099.4,1004.82,1013.93,978.98,987.43,1024.62,1156.46,1239.39,1377.66,1453.67,16209
Dublin 12,1215.61,1094.2,970.03,943.4,939.3,950.68,993.86,1112.74,1201.83,1270.11,1353.05,27529
Dublin 14,1324.7,1207.32,1110.65,1094.42,1127.41,1145.92,1233.6,1383.23,1505.91,1602.64,1695.4,26688
Dublin 24,1131.55,1031.13,927.54,857.24,858.85,851.37,893.08,1014.77,1108.86,1240.55,1353.33,22838
Galway City,773.73,714.83,675.74,688.3,675.93,681.05,687.94,735.34,783.36,838.15,932.39,18931
Kerry,638.47,602.14,550.3,526.08,501.28,496.69,527.7,530.06,526.07,560.15,620.54,81074
Kildare,900.96,850.82,772.5,734.36,695.5,705.5,735.61,837.42,932.42,975.16,1019.77,28755
Kilkenny,705.16,644.96,576.56,533.99,526.63,525.59,537.77,557.72,573.56,625.52,687.95,35172
Laois,643.66,576.34,500.76,479.3,483.73,473.94,493.74,540.62,605.62,645.75,710.89,8900
"Portlaoise, Laois",659.76,580.41,503.55,494.19,502.08,488.74,515.12,567.52,628.13,682.44,776.8,26272
Limerick,688.1,607.35,590.11,572.5,547.34,520.27,528.8,538.49,596.1,639.5,705.78,29750
Limerick City,748.95,642.85,629.29,586.3,557.56,542.63,542.45,555.15,611.2,656.01,755.91,13564
Louth,736.97,665.06,612.29,574.08,556.58,568.96,578.33,595.09,684.04,788.33,854.89,21106
"Drogheda, Louth",824.29,701.72,639.9,568.44,568.21,618.74,627.56,634.49,776.6,898.55,958.31,7960
Mayo,597.58,561.69,534.77,510.3,483.58,460.39,466.15,468.98,484.28,508.38,542.68,13146
Meath,822.4,765.24,677.68,610.17,598.28,603.45,641.65,688.27,780.14,812.89,828.9,103963
Offaly,646.33,572.96,534.01,502.32,492.25,481.26,480.23,509.65,555.51,595.35,612.07,47456
Roscommon,544.28,511.41,476.92,443.02,413.01,404.61,399.22,399.72,406.79,458.97,503.62,11738
Sligo,631.07,553.92,496.19,479.03,452.32,462.77,487.19,490.1,510.58,532.43,547.62,35718
Tipperary,624.18,580.94,541.8,525.75,521.09,508.55,518.17,524.12,534.59,560.93,587.77,6175
"Clonmel, Tipperary",654.57,620.62,597.11,599.64,594.35,569.73,564.29,606.86,608.63,630.93,650.65,25494
Waterford,666.25,617.51,562.36,531.97,493.06,471.75,477.44,487.54,536.91,594.74,633.51,12636
Westmeath,580.02,558.79,538.25,503.8,466.21,457.24,477.72,492.03,532.99,562.34,634.34,12202
Wexford,678.92,632.95,585.38,551.2,535.57,515.78,512.23,527.08,561.24,598.71,627.56,57223
"Enniscorthy, Wexford",687.2,630.89,572.47,537.07,520.74,489.38,488.5,507.37,536.91,564.35,576.85,14488
"Gorey, Wexford",680.89,636.73,583.7,552.69,541.75,521.39,525.03,563.35,627.75,666.87,706.45,30868
Wicklow,1000.76,914.86,827.79,775.85,729.6,777.12,807.19,843.99,936.3,1023.05,1017.33,11867
"Bray, Wicklow",1152.92,1085.5,981.71,922.6,889.84,949.77,976.94,1009.44,1083.57,1155.06,1185.45,47631
Carlow,759.2,712.8,663.67,637.76,617.03,603.76,607.66,633.15,666.21,709.68,753.98,39972
"Tullow, Carlow",740.04,673.22,627.64,598.43,572.12,566.58,572.33,586.01,626.27,671.51,696.62,19351
Cavan,566.55,526.7,481.86,458.07,450.15,442.15,443.46,467.47,511.5,559.27,600.58,62134
Clare,716.24,648.01,592.94,562.24,539.11,523.97,525.76,555.17,592.45,634.98,691.01,92225
"Ennis, Clare",719.43,651.99,591.51,564.36,536.06,512.6,519,551.89,609.2,660.21,707.4,38257
Cork,888.26,823.78,754.29,723.91,721.3,722.35,743.03,794.79,865.18,922.35,966.86,43381
Cork City,977.08,889.68,823.25,795.37,803.2,807.97,836.4,895.46,975.52,1053.04,1101.96,73411
"Ballincollig, Cork",948.49,889.12,821.25,804.7,794.36,801.74,819.26,910.99,1016.75,1053.03,1126,69098
"Bishopstown, Cork",1028.02,933.67,868.88,805.92,790.77,839.85,929.63,1009.29,1074.98,1165.3,1181.25,58898
"Carrigaline, Cork",904.53,852.27,789.85,756.59,756.73,765.9,785.9,827.05,922.33,1008.46,1051.55,60418
"Charleville, Cork",696.59,637.29,594.93,565.89,531.1,537.16,542.66,561.19,612.13,661.27,672.15,72873
"Clonakilty, Cork",834.86,783.92,679.77,617.95,624.57,632.38,662.92,702.18,723.93,765.64,799.21,95994
"Cobh, Cork",846.93,800.7,737.24,695.36,694.58,697.19,699.71,722.33,761.46,821.93,898.61,29159
"Douglas, Cork",1040.78,948.16,864.87,841.48,849.85,865.84,904.25,974.25,1072.93,1116.9,1157.67,66835
"Fermoy, Cork",751.55,697.09,645.87,616.5,588.76,580.4,606.96,648.9,691.31,745.15,824.27,79170
"Glanmire, Cork",947.19,871.24,812.63,786.02,789.23,826.98,847.52,910.16,963.11,1038.11,1115,34982
"Kanturk, Cork",681.02,615.94,538.6,512.9,471.26,466.84,477.89,526.02,572.62,598.2,678.9,44188
"Kinsale, Cork",953.8,926.27,896.86,852.78,816.51,820.68,854.13,921.88,959.58,1033.78,1123.6,57331
"Macroom, Cork",730.03,682.99,640.85,619.17,581.96,567.38,593.34,654.63,687.43,709.66,757.08,23811
"Mallow, Cork",772.84,721.04,649.65,619.75,595.98,597.5,614.9,648.43,719.9,787.71,837.21,33520
"Rochestown, Cork",1084.41,1008.91,906.97,897.8,903.23,930.88,980.5,1067.7,1177.15,1241.73,1270.06,125895
"Wilton, Cork",979.95,863.66,801.25,794.12,813.33,833.26,827.75,879.65,950.14,1040.02,1026.52,39015
"Youghal, Cork",736.31,670.01,613.72,585.02,570.92,558.09,571.36,603.42,650.98,711.86,786.69,86880
Donegal,596.58,567.23,527.04,490.64,460.84,443.86,447.34,466.1,500.54,527.27,555.4,15654
"Ballybofey, Donegal",604.68,577.38,544.57,497.75,465.45,449.83,459.62,464.9,489.66,517.21,532.71,65218
"Letterkenny, Donegal",605.36,576.13,539.41,499.69,465.75,452.68,461.6,484.38,532.89,565.93,595.23,31712
Dublin,1321.98,1213.67,1096.79,1068.28,1077.51,1096.81,1137.99,1225.74,1328.54,1405.28,1518.41,32958
"Balbriggan, Dublin",1146.54,1036.23,920.38,886.75,862.15,866.14,898.22,968.66,1072.16,1144.92,1238.62,146826
"Blackrock, Dublin",1674.73,1477.5,1367.31,1380.7,1456.75,1489.87,1522.13,1631.75,1788.07,1970.74,2105.93,36170
"Dun Laoghaire, Dublin",1516.79,1415.53,1338.76,1268.78,1245.69,1311.64,1447.32,1481.98,1538.75,1648.51,1966.09,80614
"Lucan, Dublin",1232.64,1138.05,1029.95,999.01,1007.08,1019.47,1065.57,1145.88,1229.39,1296.98,1406.49,30042
"Shankill, Dublin",1383.57,1270.61,1144.58,1138.57,1131.9,1204.1,1241.16,1312.98,1378.33,1476.36,1602.46,13728
"Stillorgan, Dublin",1570,1444.41,1314.81,1321.13,1327.44,1385.73,1481.53,1584.85,1657.85,1748.46,1832.25,159870
"Swords, Dublin",1265.37,1156.72,1036.8,991.72,1002.16,1014.06,1075.24,1150.99,1226.15,1308.77,1408.07,55119
Dublin 3,1529.57,1371.24,1181.52,1157.25,1212.23,1264.1,1349.67,1422.35,1542.01,1637.96,1792.12,74849
"Clontarf, Dublin 3",1618.3,1459.83,1301.81,1290.09,1311.5,1363.86,1443.91,1555.16,1721.68,1823.52,1910.81,73418
Dublin 4,2028.32,1843.38,1709.4,1681.96,1754.92,1884.42,1975.37,2208.93,2222.01,2290.73,2453.77,55178
Dublin 5,1359.71,1243.81,1113.44,1069.8,1061.71,1102.58,1167.66,1253.16,1320.85,1430.07,1570.99,23667
"Artane, Dublin 5",1347.46,1236.82,1115.37,1071.73,1046.49,1082.99,1171.5,1201.84,1246.09,1398.97,1572.84,20677
"Raheny, Dublin 5",1388.95,1249.2,1135.88,1116.07,1096.41,1163.33,1212.76,1354.01,1451.2,1525.15,1612.84,9498
Dublin 6,1751.91,1590.31,1441.37,1422.75,1400.32,1467.67,1649.77,1776.04,1801.39,1993.92,2174.36,32188
Dublin 6W,1537.11,1375.06,1219.14,1196.56,1248.27,1293.18,1362.1,1463.33,1537.48,1641.25,1820.08,46474
"Templeogue, Dublin 6W",1403.71,1278.44,1171.54,1168.78,1204.53,1210.44,1214.39,1361.38,1485.69,1613.57,1750.71,18968
"Terenure, Dublin 6W",1537.38,1372.5,1251.14,1209.72,1296.28,1375.75,1421.86,1534.62,1590.85,1715.31,1943.53,22154
Dublin 7,1396.45,1258.36,1118.09,1018.23,1057.57,1124.22,1206.28,1294.24,1375.11,1466.23,1557.51,36535
"Navan Road, Dublin 7",1371.78,1230.43,1066.5,948.55,1048.99,1115.78,1162.04,1317.81,1443.48,1533.82,1642.05,34830
Dublin 9,1359.51,1232.51,1097.33,1067.87,1090.83,1119.1,1206.24,1322.4,1418.7,1525.12,1615.79,28849
"Beaumont, Dublin 9",1305.43,1200.61,1064.4,1025.62,1026.67,1078.67,1185.69,1292.62,1371.31,1509.83,1695.31,133305
"Drumcondra, Dublin 9",1423.15,1314.7,1184.15,1167.29,1169.27,1179.41,1354.87,1445.17,1548.11,1699.06,1699.28,33275
Dublin 11,1305.4,1173.82,1047.72,981.45,978.56,991.8,1051.34,1182.56,1259.47,1338.58,1428.53,34899
"Finglas, Dublin 11",1231.56,1136.84,1005.27,932.61,921.05,960.38,1020.92,1093.13,1159.01,1267.67,1355.15,49675
"Glasnevin, Dublin 11",1465.5,1255.93,1122.92,1047.94,1049.81,1078.45,1161.88,1311.44,1397.27,1421.69,1568.24,16258
Dublin 12,1329.03,1178.9,1066.34,1029.77,1046.56,1062.45,1132.82,1262.79,1322.46,1394.83,1489.59,33417
"Crumlin, Dublin 12",1359.86,1207.46,1049.21,1009.4,1051.82,1065.75,1126.19,1253.04,1330.12,1421.29,1516.66,38603
"Drimnagh, Dublin 12",1287.99,1150.2,1045.28,998.75,1008.81,1025,1155.56,1238.02,1314.96,1386.33,1429.14,17000
Dublin 13,1325.7,1219.22,1077.24,1033.98,1061.85,1078.26,1147.13,1215.41,1297.91,1398.61,1509.39,21603
Dublin 14,1603.17,1464.14,1313.1,1296.03,1324.73,1399.32,1475.17,1575.23,1739.97,1889.24,2004.19,28983
"Churchtown, Dublin 14",1633.09,1411.53,1304.14,1260,1296.92,1372,1445.31,1475.54,1583,1698.83,1961.57,12689
"Clonskeagh, Dublin 14",1693.78,1625.95,1460.79,1444.9,1528.94,1582.46,1650.09,1742.24,1952.34,2086.53,2221.64,16294
"Dundrum, Dublin 14",1714.69,1468.75,1309.28,1295.58,1257.8,1306.57,1431.55,1553.92,1706.63,1879.33,2022.14,135462
"Rathfarnham, Dublin 14",1390.05,1313.7,1225.28,1192.13,1196.22,1258.77,1321.07,1451.23,1627.43,1730.33,1880.65,65949
Dublin 15,1230.47,1132.49,1027.55,983.26,979.49,1004.81,1058.4,1138.67,1231.27,1309.11,1376.37,23982
"Blanchardstown, Dublin 15",1217.19,1128.83,1020.95,964.49,946.4,946.68,996.62,1067.7,1148.53,1244.45,1279.17,41967
"Castleknock, Dublin 15",1257.13,1168.79,1061.08,1015.94,1021.27,1083.25,1138.26,1235.15,1358.65,1452.24,1517.96,7267
"Clonee, Dublin 15",1202.78,1112.35,1036.13,982.43,978.72,1016.52,1083.58,1158.39,1249.2,1292.72,1327.17,30859
"Clonsilla, Dublin 15",1232.16,1116.83,1005.69,963.64,961.59,979.17,1031.15,1112.43,1178.68,1266.79,1377.84,14717
"Mulhuddart, Dublin 15",1159.56,1059.24,973.93,947.29,929.08,918.98,957.6,1038.13,1127.95,1187.89,1259.15,16670
Dublin 16,1379.4,1275.82,1181.12,1149.78,1157.94,1206.02,1291.88,1385.02,1493.35,1568.68,1681.83,72084
"Ballinteer, Dublin 16",1362.66,1278.9,1198.06,1172.42,1163.59,1218,1326.88,1424.91,1531.91,1607.86,1724.84,17748
"Knocklyon, Dublin 16",1331.8,1230.77,1152.11,1115.23,1113.87,1168.61,1287.61,1361.31,1406.43,1479.21,1624.36,39815
"Rathfarnham, Dublin 16",1413.63,1308.01,1160.61,1147.48,1193.11,1238.33,1289.26,1382.7,1497.68,1546.64,1687.55,14521
"Sandyford, Dublin 18",1448.84,1368.53,1221.09,1190.65,1238.02,1249.68,1308.02,1460,1612,1679.31,1645.23,10253
"Palmerstown, Dublin 20",1262.67,1179.28,1048.07,974.55,959.73,987.13,1062.74,1188.91,1288.36,1351.9,1459.49,77743
"Clondalkin, Dublin 22",1196.26,1084.96,968.53,936.09,926.32,938.9,1002.96,1078.47,1137.68,1204.59,1295.29,40099
Dublin 24,1262.74,1143.34,1030.7,985.38,974.49,986.25,1042.25,1130.2,1209.06,1276.45,1383.11,51936
"Firhouse, Dublin 24",1276.48,1172.15,1094.89,1048.58,1041.6,1062.42,1109.36,1187.24,1277.26,1345.83,1425.4,48612
"Tallaght, Dublin 24",1244.05,1130.17,1009.94,964.51,952.46,960.49,1018.17,1109,1193.17,1264.42,1368.34,40376
Galway,835.02,768.15,709.28,699.6,704.24,700.93,717.58,762.34,800.92,857.2,910.72,18717
Galway City,904.61,825.16,768.44,761.39,763.38,769.94,793.09,832.93,883.38,952.48,1003.66,15114
"Athenry, Galway",708.48,642.16,568.22,559.06,554.87,558.11,585.25,630.81,680.73,771.91,892.55,7338
"Ballinasloe, Galway",658.12,585.56,543.78,512.51,490.32,491.67,494.21,519.33,549.83,582.99,616.37,22646
"Ballybane, Galway",806.64,774.74,713.31,768.96,775.47,785.23,829.08,801.12,807.48,854.99,903.33,36781
"Gort, Galway",691.72,612.77,513.6,481.93,473.35,475.52,473.59,523.45,576.75,624.74,667.89,14813
"Headford, Galway",856.75,776.62,743.32,779.49,795.29,769.34,762.01,808.01,853.46,904.8,994.69,16144
"Knocknacarra, Galway",868.44,836.45,781.33,758.77,779.68,792.72,825.66,889.47,923.61,970.29,1012.3,27877
"Newcastle, Galway",932.34,855.23,833.52,817.41,838.64,860.75,844.29,877.03,924.86,957.91,1001.57,26343
"Renmore, Galway",886.86,812.08,737.78,725.37,705.48,714.97,717.66,780.76,811.02,848.07,938.55,23137
"Tuam, Galway",636.88,600.29,525.43,500.63,480.83,479.42,491.75,550.27,595.77,659.7,737.19,98573
Kerry,712.55,662.98,617.05,583.33,557.02,556.89,569.61,583.71,610.9,641.83,678.72,18901
"Killarney, Kerry",807.3,741.36,668.75,642,623.21,629.94,643.89,655,701.98,757.56,817.29,79672
"Listowel, Kerry",624.68,564.15,528.92,494.41,475.04,477.8,493.43,500.28,512.87,533.32,571.56,28941
"Tralee, Kerry",724.95,692.05,653.08,614.08,582.83,580.24,590.76,605.28,626.64,645.14,669.86,35134
Kildare,1053.8,955.71,850.09,806.36,796.67,807.98,847.76,917.42,999.49,1069.02,1138.91,8967
Kildare Town,927.82,843.7,775.12,746.47,738.73,745.49,775.39,833.88,899.52,999.68,1065.72,26167
"Athy, Kildare",779.36,704.9,627.89,575.54,559.59,558.28,578.99,629.08,706.75,768.11,846.55,30330
"Celbridge, Kildare",1116.53,1024.68,936.35,889.9,878.21,898.92,966.29,1064.72,1146.85,1209.07,1267.81,13598
"Clane, Kildare",1099.33,991.24,836.73,802.56,796.84,821.75,885.69,953.38,1090.07,1138.03,1174.92,16732
"Leixlip, Kildare",1134.08,1046.99,935.81,931.18,918.79,926,984.53,1107.59,1203.79,1216.11,1266,21306
"Maynooth, Kildare",1181.75,1107.97,995.85,946.28,930.77,967.87,1009.89,1119.49,1222.01,1335.51,1370.14,7939
"Naas, Kildare",1065.01,967.12,869.56,823.64,815.28,834.17,899.84,975.64,1040.44,1110.27,1207.58,13367
"Newbridge, Kildare",1062.07,963.66,860.03,807.9,791.81,794.01,809.16,861.05,943.51,1014.49,1072.6,103861
"Sallins, Kildare",1078.89,986.54,849.25,804.56,799.66,835,862.94,980.41,1057,1142.97,1242.71,46497
Kilkenny,778.14,708.15,643.72,613.69,593.33,601.49,613.71,641.35,701.13,743.94,800.08,11220
Kilkenny City,784.6,722.78,642.59,623.8,615.55,627.92,645.16,661.24,721.89,776.07,838.32,35277
Laois,717.66,650.75,572.18,552.88,543.08,537.32,554,596.6,647.86,702.9,762.98,6326
"Portarlington, Laois",699.15,639.03,550.92,528.18,521.99,512.74,516.76,570.88,646.39,696.88,727.54,25894
"Portlaoise, Laois",729.38,656.49,579.76,565.42,555.82,553.01,573.08,616.84,663.67,731.13,800.91,12852
Leitrim,554.39,503.4,446.91,428.82,408.87,400.57,403.29,418.14,448.74,484.33,512.83,12292
"Carrick-On-Shannon, Leitrim",586.16,519.85,443.72,425.87,420.53,411.54,414.32,444.48,491.97,527.63,548.59,57443
Limerick,770.94,719.1,674.09,657.95,640.38,632.24,639.46,672.85,718.09,775.23,860.32,14306
Limerick City,791.41,734.26,694.65,672.22,644.73,647.48,658.94,697.61,736.59,802.81,908.05,31269
"Castletroy, Limerick",776.94,732.83,723.01,715.54,664.35,658.61,688.52,749.06,826.07,858.09,984.19,11868
"Raheen, Limerick",815.17,734.73,677.69,662.76,649.73,665.34,684.5,713.19,758.78,844.45,958.11,9957
"Ballymahon, Longford",587.08,550.44,501.74,466.19,451.47,430.69,432.86,464.05,516.54,542.11,614.8,75580
"Edgeworthstown, Longford",558.33,523.12,441.97,409.93,394.1,387.24,394.6,407,450.16,496.01,533.36,39031
Louth,828.09,765.22,690.71,652.79,639.04,640.01,655.91,703,785.6,882.43,969.24,50556
"Drogheda, Louth",912.54,825.53,730.95,697.09,684.76,683.35,707.6,776.67,876.23,988.75,1050.02,47431
"Dundalk, Louth",732.21,698.9,650.4,622.76,602.46,603.06,615.72,653.63,724.36,808.43,917.41,39300
Mayo,658.28,626.25,583.47,545.19,516.1,502.12,501.59,515.18,535,558.75,595.13,18244
"Ballina, Mayo",627.23,624.09,607.63,582.7,559.93,535.88,529.17,541.6,557.87,570.69,592.03,14707
"Ballyhaunis, Mayo",621.18,563.56,506.71,478.61,464.64,452.77,443.71,446.86,453.45,465.44,470.81,7129
"Castlebar, Mayo",683.35,643.99,602.24,557.75,524.94,517.6,514.21,533.18,562.02,586.08,624.9,22032
"Claremorris, Mayo",642.21,607.49,555.09,528.91,507.21,483.93,486.65,499.51,530.44,568.88,625.49,35836
"Westport, Mayo",779.08,747.84,688.9,648.3,616.06,604.76,601.81,614.98,648.53,702.18,759.48,14439
Meath,906.27,821.8,739.02,701.28,691.26,697.81,737.1,807.39,895.22,992.19,1077.69,15674
"Ashbourne, Meath",1080.28,989.83,907.04,886.15,891.25,898.46,947.34,1026.42,1108.7,1190.84,1262.35,26905
"Kells, Meath",769.53,680.8,592.56,564.37,577.77,575.79,580.63,630.2,711.66,790,832.18,25511
"Trim, Meath",822.76,771.38,703.86,676.88,654.11,667.77,696.25,765.34,843.46,958.37,1037.91,22385
Monaghan,641.92,592.43,536.49,531.58,511.53,509.87,515.78,527.03,548.54,578.96,610.72,95918
Offaly,704.94,644.45,592.04,567.78,553.02,550.62,565.28,585.31,622.52,659.13,720.62,18461
"Birr, Offaly",639.27,603.64,587.12,559.66,541.21,548.04,550.39,548.71,564.9,582.05,602.89,77457
"Tullamore, Offaly",727.77,658.17,605.93,583.11,575.28,574.24,583.92,610.34,659.08,698.89,769.25,34258
Roscommon,604.34,557.88,508.27,486.94,459.11,451.26,459.23,467.8,484.38,516.08,568.64,8736
"Athlone, Roscommon",723.38,697.39,641.9,612.18,597.31,592.35,608.04,631.65,653.21,713.88,807.03,25522
"Castlerea, Roscommon",574.93,538.77,473.09,449.41,412.55,399.17,419.87,437.02,435.24,480.57,534.51,29464
Sligo,664.4,636.11,600.75,595.05,585.13,560.34,562.74,587.83,625.7,646.12,682.36,13213
"Ballinode, Sligo",837.28,905.42,958.98,912.34,930.06,878.66,866.86,852.52,944.77,951.92,991.68,16251
Tipperary,716.84,667.72,624.35,596.21,574.89,564.02,567.72,584.68,601.8,637.9,674.42,20627
Tipperary Town,664.9,605.69,589.08,555.18,530.52,527.91,530.52,537.72,541.82,566.74,607.81,7710
"Cahir, Tipperary",748.52,684.23,630.07,595.68,585.71,572.01,579.08,596.44,597.7,601.58,643.43,12917
"Clonmel, Tipperary",760.17,715.8,693.55,664.64,638.14,626.06,637.34,661.33,679.07,722.74,759.72,45376
"Nenagh, Tipperary",704.99,668.65,611.68,565.62,547.16,536.63,539.94,555.66,576.24,605.97,665.92,10943
"Roscrea, Tipperary",684.95,650.62,602.59,581.88,562.55,564.87,574.66,585.62,583.09,597.91,628.2,34433
"Thurles, Tipperary",663.54,639.23,598.84,582.5,561.14,545.09,544.14,556,582.11,607.74,629.05,6091
Waterford,748.69,699.26,650.37,635.49,620.76,611.07,610.35,631.11,664.07,706.07,763.22,25180
Waterford City,774.81,719.19,668.08,657.35,646.74,629.34,633.86,660.61,692.14,737.7,805.75,12461
"Dungarvan, Waterford",730.99,666.42,610.43,586.33,567.03,564.21,563.77,572.08,610.09,660.62,707.56,11978
"Dunmore Road, Waterford",815.26,758.17,686.22,661.64,655.33,632.68,646.44,684.48,710.09,758.27,833.64,56016
"Ferrybank, Waterford",791.62,738.49,687.24,667.23,637.13,621.31,624.71,656.29,699.34,750,794.19,13920
"Templars Hall, Waterford",734.25,635.07,577.48,726.5,760.77,782.42,769.82,803.43,781.27,807.71,922.38,30512
"Tramore, Waterford",737.17,701.07,660.2,630.99,612.84,606.32,609.9,634.37,675.78,708.43,754.85,11584
"Mullingar, Westmeath",673.59,616.31,568.25,546.23,540.58,533.34,545.1,578.9,632.48,684.53,711.19,103895
Wexford,734.33,691.48,643.41,617.49,595.07,579.77,583.37,600.64,628.06,666.98,722.84,57879
"Clonard, Wexford",764.68,721.95,681.42,662.69,644.26,638.65,624.02,626.76,661.52,701.19,723.31,1360
"Enniscorthy, Wexford",725.67,675.77,615.72,596.76,579.54,552.25,552.37,575.26,601.02,614.27,649.74,29370
"Gorey, Wexford",748.47,698.34,642.33,618.66,591.39,574.46,585.55,625.03,667.33,731.61,818.88,12226
"New Ross, Wexford",701.14,670.72,633.27,599.23,564.29,566.3,568.59,559.58,572.31,610.54,652.65,5862
Wicklow,1157.82,1063.93,959.42,894.95,877.69,878.2,925.7,1000.48,1067.61,1160.82,1233.09,6695
"Arklow, Wicklow",857.03,817.84,758.34,730.47,704.29,675.7,685.03,724.88,773.54,854.23,956.61,4587
"Bray, Wicklow",1346.91,1214.5,1098.23,1029.57,1036.23,1049.78,1111.76,1222.33,1294.73,1371.29,1414.51,4425
"Greystones, Wicklow",1345.71,1263.51,1138.62,1069.09,1064.64,1091.61,1214.61,1252.35,1360.78,1502.09,1588.66,2020
Carlow,663.24,612.14,558.89,537.08,524.95,510.45,518.13,529.91,567.51,592.26,615.43,1784
Clare,639.04,594.38,532.58,487.96,476.14,477.96,453.14,458.98,520.15,551.02,615.76,928
Cork,762.09,697.52,682.62,662.7,648.62,638.31,657.27,705.43,740.92,796.8,854.7,2971
Cork City,811.06,699.8,715.01,707.4,704.13,701.06,727.53,786.35,829.05,887.43,935.11,4004
Donegal,479.7,449.16,422.97,404.17,372.55,385.56,396.4,398.59,413.19,444.83,465.14,1595
Dublin,1177.92,1078.72,964.23,925.44,938.94,971.73,1019.68,1077.97,1165.92,1271.75,1401.19,2014
"Balbriggan, Dublin",977.69,875.03,765.13,721.15,710.32,729.54,775.61,832.08,912.33,997.84,1054.27,3834
"Blackrock, Dublin",1339.42,1193.28,1084.28,1029.69,1039.27,1140.85,1196.15,1241.35,1347.22,1525.1,1581.18,3574
Dublin 3,1117.27,1036.36,927.79,865.5,886.57,947.65,1015.89,1132.99,1188.21,1262.42,1426.33,28230
Dublin 4,1398.76,1242.17,1155.02,1214.71,1244.97,1260.03,1281.39,1370.25,1485.49,1688.04,1892.04,2674
"Ballsbridge, Dublin 4",1655.61,1423.87,1292.16,1280.65,1296.58,1308.19,1288.27,1428.35,1608.6,1777.45,2002.68,12041
Dublin 5,1149.47,1027.48,888.45,913.5,875.94,910.48,1049.14,1076.26,1123.74,1304.43,1540.51,3035
Dublin 6,1058.15,1004.86,942.01,937.54,927.82,1009.33,1091.56,1202.11,1356.58,1450.68,1495.36,9006
Dublin 7,961.13,905.38,873.67,897.97,866.47,888.13,958.99,1022.33,1089.01,1109.92,1207.58,3353
"Cabra, Dublin 7",965.62,943.89,917.39,920.5,871.08,914.64,985.24,1028.73,1112.76,1177.23,1204.22,3776
Dublin 8,1185.32,1003.71,925.26,936.63,944.64,977.44,1062.35,1164.61,1244.37,1315.03,1409.65,1514
Dublin 9,1066.89,959.88,909.76,910.2,851.84,883.59,926.24,1055.25,1102.75,1190.54,1316.87,2262
Dublin 12,1183.92,1046.98,947.02,938.76,936.19,937.75,964.07,1092.02,1169.33,1228.63,1331.1,3573
Dublin 14,1289.48,1181.51,1092.75,1071.93,1132.18,1162.19,1235.15,1379.07,1483.24,1568.53,1659.31,1436
Dublin 15,1141.38,1028.8,883.39,869.76,889.62,907.92,918.6,1019.26,1074.9,1166.88,1304.67,2137
Dublin 24,1105.15,979.78,875.81,834.89,851.36,839.82,866.52,986.89,1084.22,1206.17,1316.5,2813
Galway,686.95,642.08,611.02,600.33,584.9,569.82,580.59,616.26,689.03,713.61,754.01,1292
